,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARACAJÚ,BELÉM,BELO HORIZONTE,BOA VISTA,BRASÍLIA,CAMPINAS,CAMPO GRANDE,CAXIAS DO SUL,CUIABÁ,CURITIBA,FEIRA DE SANTANA,FLORIANÓPOLIS,FORTALEZA,GOIÂNIA,JOÃO PESSOA,JOINVILLE,JUIZ DE FORA,LONDRINA,MACEIÓ,MANAUS,NATAL,PALMAS,PELOTAS,PORTO ALEGRE,PORTO VELHO,RECIFE,RIBEIRÃO PRETO,RIO BRANCO,RIO DE JANEIRO,SALVADOR,SANTOS,S.J.DOS CAMPOS,SÃO LUÍS,SÃO PAULO,TERESINA,UBERLÂNDIA,VITÓRIA
AMERICANA,2216,2808,595,4633,887,42,979,1084,1489,510,1855,807,3076,801,2809,637,562,514,2453,3848,2947,1690,1474,1211,2945,2660,204,3479,545,1971,205,208,2845,133,2664,465,993
ANÁPOLIS,1885,1964,870,4123,160,882,982,1767,981,1233,1563,1540,2433,57,2478,1370,1140,931,2161,3338,2655,790,2157,1894,2437,2368,662,2971,1296,1679,1045,1052,2005,973,1937,407,1386
ARACAJÚ,,2079,1578,6000,1652,2182,2765,3169,2775,2595,322,2892,1183,1848,611,2722,1718,2584,294,5215,788,1662,3559,3296,4230,501,2106,4763,1855,356,2249,2086,1578,2187,1142,1837,1408
ARAÇATUBA,2330,2662,854,4487,854,456,490,1187,1343,653,2120,960,3127,655,2924,790,932,351,2607,3702,3091,1515,1579,1314,2799,2815,331,3333,942,2130,604,595,2699,532,2631,487,1382
ARARAQUARA,2188,2657,606,4480,788,191,875,1118,1338,584,1867,891,3071,649,2781,721,667,410,2464,3695,2958,1484,1508,1245,2794,2671,89,3328,694,1983,354,357,2694,282,2565,364,1134
BAGÉ,3681,4182,2097,5585,2355,1608,1755,479,2443,1096,3359,861,4627,2175,4274,1024,2010,1344,3957,4800,4451,3100,388,393,3899,4164,1670,4433,1938,3475,1566,1601,4219,1494,4132,1931,2386
BARRETOS,2086,2501,630,4324,693,344,814,1302,1182,768,1763,1075,2966,494,2678,905,803,466,2360,3539,2852,1325,1692,1429,2638,2568,127,3172,852,1879,510,513,2538,438,2470,287,1158
BARBACENA,1755,2985,169,4894,883,547,1457,1524,1752,950,1434,1247,2706,1049,2348,1077,117,992,2031,4109,2525,1909,1914,1651,3208,2238,612,3742,273,1550,604,504,2916,532,2482,699,597
BARREIRAS,1089,2078,1352,4911,648,1557,1770,2536,1769,2002,767,2309,1737,845,1682,2139,1628,1719,1365,4126,1859,571,2926,2663,3225,1572,1342,3759,1784,830,1723,1723,1577,1651,1141,1071,1874
BAURU,2312,2727,731,4550,919,269,680,1069,1408,535,1988,842,3186,720,2906,672,745,287,2589,3765,3083,1582,1459,1196,2864,2796,228,3398,755,2108,417,413,2764,345,2696,489,1208
BELÉM,2079,,2824,6083,2120,2140,2942,3727,2941,3193,1984,3500,1610,2017,2161,3330,3100,2891,2173,5298,2108,1283,4117,3852,4397,2074,2622,4931,3250,2100,3005,3008,806,2933,947,2367,3108
BELO HORIZONTE,1578,2824,,4736,716,740,1453,1585,1594,1004,1256,1301,2528,906,2171,1131,272,1002,1854,3951,2348,1690,1975,1712,3050,2061,523,3584,434,1372,658,611,2738,586,2302,556,524
BLUMENAU,2843,3451,1252,5079,1624,724,1249,475,1937,251,2517,139,3789,1444,3436,147,1167,637,3119,4294,3613,2286,862,599,3393,3326,939,3927,1096,2633,728,758,3488,656,3401,1200,1548
BOA VISTA,6000,6083,4736,,4275,4665,3836,5355,3142,4821,5678,5128,6548,4076,6593,4958,4978,4445,6279,785,6770,4926,5611,5348,1686,6483,4445,2230,5159,5794,4828,4833,6120,4756,6052,4190,5261
BRASÍLIA,1650,2140,741,4275,,921,1134,1900,1133,1366,1330,1673,2200,209,2245,1503,992,1083,1930,3490,2422,973,2290,2027,2589,2135,706,3123,1148,1446,1087,1087,2157,1015,1789,435,1239
C. DE ITAPEMIRIM,1544,3244,550,5363,1343,844,1777,1759,2224,1185,1260,1482,2533,1533,2137,1307,404,1291,1820,4581,2314,2240,2149,1886,3680,2027,1153,4214,406,1338,839,676,2743,767,2307,1186,139
CALDAS NOVAS,1837,2174,638,4139,280,655,860,1574,984,1099,1549,1342,2640,159,2407,1179,815,803,2084,3404,2654,996,1931,1685,2480,2287,439,2984,999,1638,807,796,2172,747,2416,169,1069
CAMPINA GRANDE,541,2031,2101,6523,2175,2705,3285,3692,3296,3118,845,3415,709,2372,130,3245,2241,3107,374,5738,307,2095,4082,3819,4752,191,2629,5286,2378,879,2772,2609,1530,2700,1094,2388,1931
CAMPINAS,2182,2842,601,4665,921,,1012,1057,1523,476,1866,773,3133,835,2775,603,541,526,2458,3880,2952,1727,1440,1177,2979,2665,238,3513,511,1982,171,174,2879,99,2698,497,959
CAMPO GRANDE,2764,2942,1453,3836,1134,1012,,1525,694,991,2452,1298,3407,935,3357,1128,2241,615,3040,3051,3534,1785,1781,1518,2150,3247,930,2684,1444,2568,1086,1107,2979,1014,2911,894,1892
CAMPOS DO GOITACAZES,1647,3347,532,5294,1249,770,1703,1685,2152,1111,1363,1408,2636,2238,2240,1233,330,1217,1923,4509,2417,2392,2075,1812,3608,2130,996,4142,279,1441,765,602,2846,693,2410,1089,242
CARUARU,407,1948,1967,6389,2041,2571,3153,3558,3162,2984,711,3281,855,2323,244,3111,2107,2973,240,5604,421,1964,3948,3685,4618,134,2495,5152,2244,745,2638,2475,1561,2566,1011,2255,1796
CASCAVEL,2950,3242,1369,4467,1434,906,637,879,1325,498,2630,805,3707,1235,3745,635,1404,391,3226,3682,3720,2155,1148,885,2781,3433,846,3315,1333,2746,980,999,3279,908,3211,1067,1786
CAXIAS DO SUL,3169,3727,1585,5355,1900,1057,1525,,2213,584,2847,478,4115,1720,3762,606,1498,913,3445,4570,3939,2761,394,131,3669,3652,1215,4203,1426,2963,1054,1089,3764,982,3677,1476,1874
CHUÍ,3811,4369,2227,5863,2542,1699,2033,646,2721,1226,3489,991,4757,2362,4404,1155,2140,1555,4087,5078,4581,3392,266,515,4177,4294,1857,4711,2068,3605,1696,1731,4406,1624,4319,2118,2516
